错误码,中文描述,说明,变量名,状态码,消息
00000,一切ok,正确执行后的返回,OK,200,OK
A0001,用户端错误,一级宏观错误码,ClientErr,400,Client Err
A0100,用户注册错误,二级宏观错误码,RegistrationErr,400,Registration Err
A0101,用户未同意隐私协议,,PrivacyPolicyNotAccepted,400,Privacy Policy Not Accepted
A0102,注册国家或地区受限,,RegistrationAreaRestricted,400,Registration Area Restricted
A0110,用户名校验失败,,InvalidUsername,400,Invalid Username
A0111,用户名已存在,,ExistedUsername,400,Existed Username
A0112,用户名包含敏感词,,SensitiveUsername,400,Sensitive Username
A0113,用户名包含特殊字符,,IllegalCharInUsername,400,Illegal Char In Username
A0120,密码校验失败,,InvalidPassword,400,Invalid Password
A0121,密码长度不够,,ShortPassword,400,Short Password
A0122,密码强度不够,,WeakPassword,400,Weak Password
A0130,校验码输入错误,,IncorrectVerificationCode,400,Incorrect Verification Code
A0131,短信校验码输入错误,,IncorrectSMSVerificationCode,400,Incorrect SMS Verification Code
A0132,邮件校验码输入错误,,IncorrectEmailVerificationCode,400,Incorrect Email Verification Code
A0133,语音校验码输入错误,,IncorrectVoiceVerificationCode,400,Incorrect Voice Verification Code
A0140,用户证件异常,,InvalidDocumentation,400,Invalid Documentation
A0141,用户证件类型未选择,,DocumentationNotChosen,400,Documentation Not Chosen
A0142,大陆身份证编号校验非法,,InvalidIDCardNum,400,Invalid ID Card Num
A0143,护照编号校验非法,,InvalidPassportNum,400,Invalid Passport Num
A0144,军官证编号校验非法,,InvalidMilitaryID,400,Invalid Military ID
A0150,用户基本信息校验失败,,InvalidBasicInfo,400,Invalid Basic Info
A0151,手机格式校验失败,,InvalidPhoneNum,400,Invalid Phone Num
A0152,地址格式校验失败,,InvalidAddress,400,Invalid Address
A0153,邮箱格式校验失败,,InvalidEmail,400,Invalid Email
A0200,用户登录异常,二级宏观错误码,AbnormalLogin,400,Abnormal Login
A0201,用户账户不存在,,UserNotFound,404,User Not Found
A0202,用户账户被冻结,,UserFrozen,400,User Frozen
A0203,用户账户已作废,,UserInvalid,400,User Invalid
A0210,用户密码错误,,IncorrectPassword,400,Incorrect Password
A0211,用户输入密码错误次数超限,,TooManyIncorrectPassword,403,Too Many Incorrect Password
A0220,用户身份校验失败,,IdentityUnrecognized,400,Identity Unrecognized
A0221,用户指纹识别失败,,FingerprintUnrecognized,400,Fingerprint Unrecognized
A0222,用户面容识别失败,,FaceUnrecognized,400,Face Unrecognized
